,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ABRACL,0.11572365,0.22110829,-0.013777939,0.46869376,-0.008165936,-0.014634939,0.14819576,0.43856812,0.12044227,1.6039829,0.14172058,-0.017688798,1.1951141,1.5007308,0.71351194,0.020631328
ABTB2,0.74030524,0.12746105,-0.013187721,0.55989796,-0.006755567,-0.011921666,-0.0045174044,-0.0005034868,-0.0022367479,1.5079243,0.044063278,-0.013515391,0.95149034,1.034088,0.87091696,0.70366126
AC002117.1,0.6871105,0.18077338,-0.013850414,0.4964622,-0.007101641,-0.012054243,-0.0034385335,0.010649733,-0.0014358279,1.5350538,0.08969055,-0.013944843,0.9880303,1.1266853,0.82444274,0.64755416
AC002331.1,0.8345346,0.11573504,-0.012952954,0.45485494,-0.006629466,-0.011166866,-0.005245199,-0.002251409,-0.0018854418,1.3878776,0.022456206,-0.012278653,0.8373799,0.9347634,0.8018596,0.867484
AC002451.3,0.8251288,0.04103132,-0.012125149,0.5528997,-0.0058751297,-0.010918184,-0.0057370793,-0.0021570744,-0.0026673123,1.3692822,0.035814144,-0.012015953,0.82569975,0.9433094,0.82513094,0.8301252
AC002454.1,0.8953114,0.14776294,-0.013465088,0.46537694,-0.0070844977,-0.011289116,-0.0047583967,-0.002082155,-0.0019417518,1.4104354,0.0062345564,-0.012734099,0.8602077,1.0060718,0.79923344,0.85961187
AC004069.2,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC004156.3,0.854176,0.118851006,-0.013069302,0.48588,-0.006714112,-0.0109432,-0.0046217726,-0.0015874468,-0.0021023883,1.4328467,0.010159969,-0.012772157,0.8517661,1.0011243,0.8222856,0.8180828
AC004754.3,0.66271615,0.13902047,-0.013155177,0.53632474,-0.006758837,-0.012484448,-0.0041729705,-0.00022645784,-0.0014740789,1.5234816,0.04371222,-0.01367779,1.0043795,1.0131383,0.8463972,0.6452564
AC004854.4,0.8703523,0.1648444,-0.01278678,0.38571432,-0.0070914463,-0.01068831,-0.0046527027,-0.0021438822,-0.0015542718,1.3821484,-0.00020022481,-0.012550281,0.81361634,0.93500835,0.76574,0.85711986
AC004951.6,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC005082.12,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC006129.2,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC006369.2,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC006449.2,0.85353625,0.09987544,-0.013110987,0.48593208,-0.0067221653,-0.011283803,-0.0050260145,-0.002239001,-0.0021140182,1.4137163,0.03257525,-0.012592512,0.86333174,0.98467624,0.8355091,0.86034137
AC007038.7,0.5990572,0.22245163,-0.013433821,0.35702127,-0.0075489352,-0.011679408,-0.002575572,0.095153555,-0.00046809576,1.5171255,0.07431849,-0.014266501,0.9368326,1.0838987,0.7495158,0.562981
AC007325.4,0.37357187,0.2106285,-0.0141341435,0.58682525,-0.006818033,-0.01359457,-0.0024854087,0.29775155,-0.0005617488,1.5712228,0.17899771,-0.014409102,1.1834052,1.1889399,0.7886919,0.31764606
AC007349.5,0.79572445,0.19788732,-0.013821291,0.40388492,-0.007421482,-0.011354257,-0.0036962812,-0.00088780595,-0.0011825697,1.4553672,0.016872033,-0.013685274,0.9066732,1.074331,0.7754995,0.7533317
AC007381.3,1.10309,0.15867603,-0.01108151,0.35487863,-0.008853067,-0.010169298,-0.0031272303,-0.0022134031,-0.003790765,1.2795765,0.0024823546,-0.010958016,0.61147606,0.7418431,0.74630433,0.71186936
AC007383.3,0.8588374,0.16707066,-0.013073193,0.39082003,-0.0071500265,-0.010970624,-0.004482582,-0.0021404268,-0.0013639847,1.4004772,-9.149521e-05,-0.012749155,0.8406,0.97280896,0.76357746,0.85038584
AC007386.2,0.82988876,0.14279398,-0.013219251,0.4232782,-0.0068622967,-0.011642325,-0.004225084,-0.002176992,-0.0011927517,1.3787658,0.069045305,-0.012151808,0.8587556,1.0131791,0.7162681,0.8065431
AC007386.4,0.8134841,0.117594935,-0.013200829,0.5422003,-0.0065087304,-0.011468788,-0.005127921,-0.0015710301,-0.002312928,1.4460196,0.030241638,-0.012855965,0.90897304,0.9890969,0.85988915,0.80499434
AC007405.6,0.8288527,0.2004224,-0.012939083,0.35603705,-0.007294487,-0.0106222415,-0.004077014,-0.0015655729,-0.0013556316,1.3892853,-0.000115387586,-0.012908775,0.820555,0.93674153,0.7680684,0.79803884
AC007880.1,0.82627016,0.1112652,-0.012962971,0.5368276,-0.006229373,-0.011392091,-0.0047554695,-0.0018859907,-0.0022925623,1.4178071,0.06217739,-0.012332287,0.8797411,1.0065799,0.82909733,0.8075343
AC008079.10,-0.02092119,5.908936,-0.058110595,-0.037066735,-0.04069105,-0.059210803,5.265666,5.3392973,7.452372,7.2759476,2.5101879,-0.08136524,6.3200603,6.678164,-0.031800926,-0.043448884
AC008088.4,0.8018229,0.17200711,-0.013287801,0.4406253,-0.006989975,-0.0114429975,-0.0044763708,-0.0014881865,-0.0015683132,1.4532424,0.013554931,-0.013035928,0.89180666,0.95766973,0.81727445,0.798315
AC008753.6,0.47014531,0.13255738,-0.013901146,0.65345764,-0.006225028,-0.0142025305,-0.0026666874,0.07267407,-0.0003584004,1.5064051,0.1634567,-0.013956437,1.1635079,1.2100616,0.7891735,0.42427912
AC009120.10,0.8450137,0.10144612,-0.012425122,0.48479518,-0.006461185,-0.010783333,-0.0054683904,-0.0023602662,-0.0023013654,1.3590561,0.007488951,-0.012187175,0.82092,0.9134443,0.8185718,0.8489679
AC009473.1,0.8824744,0.15630643,-0.013102491,0.42429954,-0.006967936,-0.01085622,-0.0049520954,-0.0021551182,-0.0018999248,1.390769,-0.00018613905,-0.012743564,0.8292898,0.93754876,0.8029417,0.86697435
AC009495.2,0.8715026,0.12203629,-0.012603948,0.42138547,-0.0067577404,-0.010714945,-0.0052772956,-0.00256863,-0.0019109827,1.355728,-4.7457215e-06,-0.012124923,0.79701394,0.9145287,0.7779615,0.88590276
AC009506.1,0.8920388,0.14169262,-0.01331163,0.3978653,-0.007371652,-0.011100617,-0.0043657143,-0.0022694007,-0.0013843599,1.3916944,-0.00016911655,-0.012640136,0.8372692,1.0333843,0.7538553,0.88400245
AC009948.5,0.79899734,0.19735442,-0.014508862,0.53927463,-0.0075017875,-0.012180226,-0.003203817,-0.00016118906,-0.002076474,1.5043695,0.072016306,-0.014001068,0.97978324,1.1416214,0.8587296,0.6652108
AC010226.4,0.8857783,0.1436904,-0.0127838915,0.38912857,-0.007256885,-0.011147857,-0.0045697945,-0.0025819545,-0.0014296602,1.3788068,-3.81723e-06,-0.012491623,0.810116,0.958039,0.7497281,0.86452234
AC011043.1,0.82801247,0.197599,-0.013476982,0.37153104,-0.0073251254,-0.011094801,-0.0037884281,-0.001487642,-0.0011224087,1.4356059,0.011810407,-0.013173212,0.8678115,1.028561,0.7553209,0.80173105
AC011893.3,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC011899.9,0.8582161,0.141297,-0.012895129,0.3549955,-0.0070732385,-0.010879402,-0.0045962096,-0.0024875484,-0.0012952063,1.3548113,0.012087017,-0.012087126,0.8093412,0.9577194,0.7281124,0.88400733
AC012074.2,0.7759671,0.049134903,-0.011769708,0.6414678,-0.0060370592,-0.012232709,-0.004877148,-0.0029903005,-0.0023871097,1.2871251,0.09137237,-0.011234268,0.79212594,0.855066,0.9003378,0.73034656
AC012123.1,0.864301,0.15125099,-0.013086308,0.40385374,-0.0069282213,-0.010924492,-0.0048591173,-0.002272189,-0.0015588372,1.3841739,0.005896315,-0.012358547,0.82996273,0.9655573,0.7557441,0.87476295
AC013264.2,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC013461.1,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC015971.2,0.8563229,0.14147827,-0.013023598,0.41868034,-0.0068213334,-0.0110107,-0.0049749515,-0.002315858,-0.0017269724,1.391636,0.014907286,-0.012313444,0.8226988,0.93433094,0.7864673,0.8772648
AC015987.1,0.73721695,0.22486429,-0.013753108,0.45824054,-0.007404965,-0.012103307,-0.0030851376,-0.00022368449,-0.00083146937,1.5366805,0.013209239,-0.014184963,1.0139698,1.0983912,0.7982879,0.65855545
AC016549.1,0.8611913,0.17247103,-0.013175352,0.394307,-0.0071247285,-0.010928614,-0.0046037603,-0.0020742195,-0.0014107057,1.3912313,-8.429393e-05,-0.012640892,0.8420445,0.9660202,0.76062644,0.8551309
AC016831.7,-0.01632454,5.656797,-0.04812432,-0.036719747,-0.043500394,-0.06239706,5.922961,5.0047855,7.886392,6.5987415,1.7749566,-0.08082601,6.354854,6.396551,-0.025758084,-0.045097496
AC017002.1,0.7461758,0.1232747,-0.012928171,0.5288299,-0.006622822,-0.011820497,-0.0050538247,-0.00068262516,-0.002216179,1.4728631,0.010337338,-0.0133814495,0.91933894,0.94340974,0.8592572,0.72283995
AC018766.4,0.59990215,-0.00023543964,-0.010611803,0.49906775,-0.004457354,-0.006500922,-0.0070168427,-0.0016330222,-0.0042733564,1.2224617,0.15119061,-0.008056517,0.86907464,0.9556208,0.73264897,0.78449714
